word_id,root_id,link_index,target_identifier,target_type,target_id
7219d316-4469-4b1a-bfcd-168b46cb8db9,dfd013a4-97a0-442d-85b7-d8f6c7abc40e,1,can,word,1a7fd486-6f5a-4d29-a48e-f09d1ec280aa
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,1,a-,prefix,eb2dab21-d31e-4dbd-bb90-255c046203a6
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,2,ab-,prefix,1e4ea41c-ee64-4bce-aed5-5ba7b9bcccff
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,3,ac-,prefix,313fe2aa-9acf-4e44-b215-3d94eac8de99
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,4,ad-,prefix,01e572b5-9046-4ae6-82df-91bb22b151d2
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,5,ap-,prefix,3015fc76-f4ec-4a6a-bc69-218e873a44f1
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,6,as-,prefix,eb377bec-24c3-4c39-84d6-2c688a20059a
24c369d5-b60f-4de3-a957-094cd8a0e455,313fe2aa-9acf-4e44-b215-3d94eac8de99,7,at-,prefix,e63cdbbb-8bfb-442b-b49a-bd01c7f68aff
24c369d5-b60f-4de3-a957-094cd8a0e455,dfd013a4-97a0-442d-85b7-d8f6c7abc40e,1,can,word,1a7fd486-6f5a-4d29-a48e-f09d1ec280aa
4778cd3f-bc4f-4132-9328-d25bf386abdf,ac7523d6-9e5f-4cff-bd04-0e001ef21a7a,1,trans-,prefix,c382c29f-affc-416a-8882-078f7af11696
fc4070f8-bf57-4626-aea1-1cb127778a1c,ac7523d6-9e5f-4cff-bd04-0e001ef21a7a,1,trans-,prefix,c382c29f-affc-416a-8882-078f7af11696
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,1,at,word,9c2f1b32-39ad-4c43-8c8d-ae84d4272e3b
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,2,a-,prefix,eb2dab21-d31e-4dbd-bb90-255c046203a6
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,3,ar-,prefix,775ddff0-40ce-4374-a7e4-30edb50f338b
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,4,ab-,prefix,1e4ea41c-ee64-4bce-aed5-5ba7b9bcccff
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,5,ac-,prefix,313fe2aa-9acf-4e44-b215-3d94eac8de99
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,6,ad-,prefix,01e572b5-9046-4ae6-82df-91bb22b151d2
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,7,ap-,prefix,3015fc76-f4ec-4a6a-bc69-218e873a44f1
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,8,as-,prefix,eb377bec-24c3-4c39-84d6-2c688a20059a
