word_id,word_order,canonical_spelling,variants_json,entry_kind,source_roles,source_count,first_source_entry_id,homograph_sources
cet4-w-1585d72748c764fdc715,80,actual,[],word,headword,1,cet2016-p022-r14-c1,0
cet4-w-35933c866d479febfd5d,81,actually,[],word,listed_related,1,cet2016-p022-r14-c2,0
cet4-w-3d98e5db5ab2fed7b3a1,82,acute,[],word,headword,1,cet2016-p022-r16-c1,0
cet4-w-e7cddeac5a76bef5c4f9,83,ad,[],word,listed_related,1,cet2016-p022-r40-c2,0
cet4-w-ce5ce25d8f0e7194cc10,84,adapt,[],word,headword,1,cet2016-p022-r17-c1,0
cet4-w-9ee5467ce2af9057e724,85,adaptation,[],word,listed_related,1,cet2016-p022-r17-c2,0
cet4-w-39fd41b2a3a0a3778170,86,adaptive,[],word,listed_related,1,cet2016-p022-r17-c3,0
cet4-w-9103ec43533f3656675e,87,add,[],word,headword,1,cet2016-p022-r18-c1,0
cet4-w-827192b236adae6222d6,88,addict,[],word,headword,1,cet2016-p022-r19-c1,0
cet4-w-375e71f085b055138a30,89,addiction,[],word,listed_related,1,cet2016-p022-r19-c2,0
cet4-w-445db3c0e8ea30789839,90,addictive,[],word,listed_related,1,cet2016-p022-r19-c3,0
cet4-w-1f43ac46516340a2c567,91,addition,[],word,listed_related,1,cet2016-p022-r18-c2,0
cet4-w-402de9743b898c93a5a7,92,additional,[],word,listed_related,1,cet2016-p022-r18-c3,0
cet4-w-4ad740efa6ce91ebdc49,93,address,[],word,headword,1,cet2016-p022-r20-c1,0
cet4-w-db3240a754a4f0cc1b95,94,adequacy,[],word,listed_related,1,cet2016-p022-r21-c2,0
cet4-w-3280840e02945516df84,95,adequate,[],word,headword,1,cet2016-p022-r21-c1,0
cet4-w-ee44dcf4e7327fd686b6,96,adequately,[],word,listed_related,1,cet2016-p022-r21-c3,0
cet4-w-c01fb4394e58c21d5942,97,adjective,[],word,headword,1,cet2016-p022-r24-c1,0
cet4-w-a8695ab2eba26f553554,98,adjust,[],word,headword,1,cet2016-p022-r25-c1,0
cet4-w-0d8ec86f80e83f53213b,99,adjustment,[],word,listed_related,1,cet2016-p022-r25-c2,0
cet4-w-db28876203b12b88803d,100,administer,[],word,headword,1,cet2016-p022-r26-c1,0
cet4-w-03984bdffe6b68219b40,101,administrate,[],word,headword,1,cet2016-p022-r26-c1,0
cet4-w-b94968e5eac90a8ffb83,102,administration,[],word,listed_related,1,cet2016-p022-r26-c2,0
cet4-w-01b85c6f210de37c958d,103,administrative,[],word,listed_related,1,cet2016-p022-r26-c3,0
