word_id,canonical_spelling,source_entry_id,entry_role,source_homograph_number,normalization_kind
cet4-w-c4b713ae9df6a2967d02,rock,cet2016-p118-r10-c1,headword,,literal
cet4-w-ea85d88821fb6f67992d,rocky,cet2016-p118-r10-c2,listed_related,,literal
cet4-w-f205a713630c1b6a0411,rocket,cet2016-p118-r11-c1,headword,,literal
cet4-w-ce20d78e27c30a9ee8d3,rod,cet2016-p118-r12-c1,headword,,literal
cet4-w-1002a874fa18f8d363ba,role,cet2016-p118-r13-c1,headword,,literal
cet4-w-5e60017fd7251edc5f53,roll,cet2016-p118-r14-c1,headword,,literal
cet4-w-407636a897734a3d257d,roller,cet2016-p118-r14-c2,listed_related,,literal
cet4-w-c274c595e7b150530b00,romance,cet2016-p118-r15-c1,headword,,literal
cet4-w-f0d8562f2107398bc7df,romantic,cet2016-p118-r15-c2,listed_related,,literal
cet4-w-6cd1abfa69fe6be3f4da,roof,cet2016-p118-r16-c1,headword,,literal
cet4-w-4486ee645f2acacaf3e9,room,cet2016-p118-r17-c1,headword,,literal
cet4-w-f00429d001c7f6dc16ac,root,cet2016-p118-r18-c1,headword,,literal
cet4-w-3cbbfb5ee2148c2f7b90,rope,cet2016-p118-r19-c1,headword,,literal
cet4-w-9dc2588ece438925684c,rose,cet2016-p118-r20-c1,headword,,literal
cet4-w-fecdd535e22650b189e9,rosy,cet2016-p118-r20-c2,listed_related,,literal
cet4-w-2ef1fd5731ac17405c3a,rough,cet2016-p118-r23-c1,headword,,literal
cet4-w-30964b8172df3093df83,roughly,cet2016-p118-r23-c2,listed_related,,literal
cet4-w-6393305501f869154867,round,cet2016-p118-r24-c1,headword,,literal
cet4-w-24c6bac6c1460a18b8a0,rouse,cet2016-p118-r25-c1,headword,,literal
cet4-w-064c8547db9a770306c9,route,cet2016-p118-r26-c1,headword,,literal
cet4-w-fe060c438fc9bc2fc30e,routine,cet2016-p118-r27-c1,headword,,literal
cet4-w-2b87dba3761b9edeebab,row,cet2016-p118-r28-c1,headword,1,literal
cet4-w-2b87dba3761b9edeebab,row,cet2016-p118-r29-c1,headword,2,literal
cet4-w-4633c9db645fb79e6ac4,royal,cet2016-p118-r30-c1,headword,,literal
cet4-w-d9e4611f596a411df9bb,royalty,cet2016-p118-r30-c2,listed_related,,literal
cet4-w-d463fb3e6f9bcd6283e9,rub,cet2016-p118-r31-c1,headword,,literal
cet4-w-bb395052b30972c8e5ba,rubber,cet2016-p118-r32-c1,headword,,literal
cet4-w-7e601f2a93566cd81840,rubbish,cet2016-p118-r33-c1,headword,,literal
cet4-w-900495d12132f23467f5,rude,cet2016-p118-r34-c1,headword,,literal
cet4-w-2ddfacde608915f0bb32,rug,cet2016-p118-r35-c1,headword,,literal
cet4-w-414a9bed52c078e0d792,ruin,cet2016-p118-r36-c1,headword,,literal
cet4-w-d459fad4cd532572be19,ruinous,cet2016-p118-r36-c2,listed_related,,literal
cet4-w-ff2a883cb911c907a0a9,rule,cet2016-p118-r37-c1,headword,,literal
cet4-w-31be51732fc29fd6d6f9,ruler,cet2016-p118-r37-c2,listed_related,,literal
cet4-w-005ee7c36aef57ae0e19,ruling,cet2016-p118-r37-c3,listed_related,,literal
cet4-w-aa3c95ff397f87905b21,rumor,cet2016-p118-r38-c1,headword,,orthographic
cet4-w-4441a9671aa58cb0300a,run,cet2016-p118-r39-c1,headword,,literal
cet4-w-d1f9df721faa1d6125be,runner,cet2016-p118-r39-c2,listed_related,,literal
cet4-w-08f39012c401499d185e,running,cet2016-p118-r39-c3,listed_related,,literal
cet4-w-c5b30a0798bb4b0993ce,runway,cet2016-p118-r40-c1,headword,,literal
cet4-w-ad6ba2410206c81edcb7,rural,cet2016-p118-r41-c1,headword,,literal
cet4-w-589fa77a7b764fd1e65b,rush,cet2016-p118-r42-c1,headword,,literal
cet4-w-1495f5d5efb6cef80ee2,sack,cet2016-p119-r03-c1,headword,,literal
cet4-w-443c11d2ec3dca6af681,sacrifice,cet2016-p119-r05-c1,headword,,literal
cet4-w-ded7c0f42edc158a866b,sacrificial,cet2016-p119-r05-c2,listed_related,,literal
cet4-w-47911ee7f7e2cc119b98,sad,cet2016-p119-r06-c1,headword,,literal
cet4-w-844ccd766e1ba56d7053,sadness,cet2016-p119-r06-c2,listed_related,,literal
cet4-w-945457583b0a1f948aa1,sadden,cet2016-p119-r06-c3,listed_related,,literal
cet4-w-7b4b87820522c76171c0,safe,cet2016-p119-r08-c1,headword,,literal
cet4-w-8d430a1e0f53893128dc,safety,cet2016-p119-r08-c2,listed_related,,literal
cet4-w-8531539e7c7e80c43476,sail,cet2016-p119-r10-c1,headword,,literal
cet4-w-babca14381e34b62ee9c,sailing,cet2016-p119-r10-c2,listed_related,,literal
cet4-w-e5d3a64ec29537cbb54b,sailor,cet2016-p119-r10-c3,listed_related,,literal
cet4-w-8c46586047dee49c0ef8,saint,cet2016-p119-r11-c1,headword,,literal
cet4-w-a30230576d2cd028a25c,sake,cet2016-p119-r12-c1,headword,,literal
cet4-w-c090497d92ef53d266dc,salad,cet2016-p119-r13-c1,headword,,literal
cet4-w-922f4a62a46fe69ff78b,salary,cet2016-p119-r14-c1,headword,,literal
cet4-w-3bfb1be357c7c5efbc8f,sale,cet2016-p119-r15-c1,headword,,literal
cet4-w-104fb9e28267f29dcb56,salesman,cet2016-p119-r16-c1,headword,,literal
cet4-w-a3f69fad49ceb3bbbc55,salt,cet2016-p119-r19-c1,headword,,literal
cet4-w-4d7ceb1667dcfb5efda0,salty,cet2016-p119-r19-c2,listed_related,,literal
cet4-w-e446ff98c1fa562644f5,same,cet2016-p119-r23-c1,headword,,literal
cet4-w-8990642d48971b3fed99,sample,cet2016-p119-r24-c1,headword,,literal
cet4-w-f2ca72ef61f800020652,sand,cet2016-p119-r27-c1,headword,,literal
cet4-w-8f4b950c2882c35ed548,sandwich,cet2016-p119-r28-c1,headword,,literal
cet4-w-02c29df82f66c6ae1583,satellite,cet2016-p119-r31-c1,headword,,literal
cet4-w-d90c1ea7df51d4a077d1,satisfy,cet2016-p119-r33-c1,headword,,literal
cet4-w-7c30bb9e7f3af45ff93c,satisfaction,cet2016-p119-r33-c2,listed_related,,literal
cet4-w-a490e40a2193718412e6,satisfactory,cet2016-p119-r33-c3,listed_related,,literal
cet4-w-44df8aa6bb5b5c776a0e,Saturday,cet2016-p119-r35-c1,headword,,literal
cet4-w-7d10c3db52835a844002,sauce,cet2016-p119-r36-c1,headword,,literal
cet4-w-de506fa6c65e358f3dd4,sausage,cet2016-p119-r37-c1,headword,,literal
cet4-w-c22a16263cd822ee8f23,save,cet2016-p119-r39-c1,headword,,literal
cet4-w-2b6684347a3a0585dbbd,saving,cet2016-p119-r39-c2,listed_related,,literal
cet4-w-dbf0da7b953fc447515a,say,cet2016-p119-r40-c1,headword,,literal
cet4-w-fdca8fc7cc753500e42f,saying,cet2016-p119-r40-c2,listed_related,,literal
cet4-w-2929804280965dc4d016,scale,cet2016-p119-r41-c1,headword,,literal
cet4-w-34ed33859e3bc58a224c,scan,cet2016-p119-r42-c1,headword,,literal
cet4-w-9d8609081426d0c51b0a,scanner,cet2016-p119-r42-c2,listed_related,,literal
cet4-w-271d3133670cbbb73a16,scandal,cet2016-p120-r01-c1,headword,,literal
cet4-w-97bd4f1f9721446bb683,scandalous,cet2016-p120-r01-c2,listed_related,,literal
cet4-w-a4d075019b315ab91c9a,scar,cet2016-p120-r02-c1,headword,,literal
cet4-w-fcb6cecdfbc85d75b5d5,scarce,cet2016-p120-r03-c1,headword,,literal
cet4-w-a4d823880b96be41876a,scarcity,cet2016-p120-r03-c2,listed_related,,literal
cet4-w-414067c9d6973389efe5,scarcely,cet2016-p120-r03-c3,listed_related,,literal
cet4-w-9afa0e458f58a77c5746,scare,cet2016-p120-r04-c1,headword,,literal
cet4-w-af793f1eebf568df4908,scary,cet2016-p120-r04-c2,listed_related,,literal
cet4-w-39a61d07db0a75ca9d85,scatter,cet2016-p120-r05-c1,headword,,literal
cet4-w-3f84fdb5c3361d6c215e,scene,cet2016-p120-r07-c1,headword,,literal
cet4-w-3a45ed291f5811090694,scenery,cet2016-p120-r07-c2,listed_related,,literal
cet4-w-95e3bfee258628bdcd5f,scenic,cet2016-p120-r07-c3,listed_related,,literal
cet4-w-5484935d561bbd814370,scent,cet2016-p120-r08-c1,headword,,literal
cet4-w-1497c9a4d723e402cabe,schedule,cet2016-p120-r09-c1,headword,,literal
cet4-w-44e50c041eb907a38af6,scheme,cet2016-p120-r10-c1,headword,,literal
cet4-w-b24f35550d7f5a3e748b,scholar,cet2016-p120-r11-c1,headword,,literal
cet4-w-a0f985a111f1447c945a,scholarly,cet2016-p120-r11-c2,listed_related,,literal
